Id;State;CreatedDateUtc;CancellationRequestDateUtc;CancellationDateUtc;CancellationRejectionDateUtc;CanceledEmployee;SoldEmployee;UpdatedDateUtc;
C817066B-AA29-CD75-D786-08DB92790896;0;21:13.5;NULL;NULL;NULL;NULL;employee@pflegehilfe.de;21:13.5;
46ED7DB7-F5F1-C470-1237-08DB9278E136;0;20:07.5;NULL;NULL;NULL;NULL;employee@pflegehilfe.de;20:07.5;
30DF8532-C699-C325-8DD8-08DB9278A4A3;0;18:25.9;NULL;NULL;NULL;NULL;employee@pflegehilfe.de;18:25.9;
D0A2B54F-BFBF-C133-F0E5-08DB92788F7B;0;17:50.4;NULL;NULL;NULL;NULL;employee@pflegehilfe.de;17:50.4;
AF9228F1-05E4-C453-E2B3-08DB9278861C;0;17:34.6;NULL;NULL;NULL;NULL;employee@pflegehilfe.de;17:34.6;
F2E580A3-8E90-C864-8A84-08DB9278861B;0;17:34.6;NULL;NULL;NULL;NULL;employee@pflegehilfe.de;17:34.6;
AC92ABB8-9172-CFFF-42E3-08DB9278861C;0;17:34.6;NULL;NULL;NULL;NULL;employee@pflegehilfe.de;17:34.6;
E5003D49-688B-C5A3-4CFE-08DB92788432;0;17:31.4;NULL;NULL;NULL;NULL;employee@pflegehilfe.de;17:31.4;
331CF052-5BFA-CF98-89BC-08DB92788431;0;17:31.4;NULL;NULL;NULL;NULL;employee@pflegehilfe.de;17:31.4;
94AAFCAC-418B-C754-59F7-08DB92787277;0;17:01.7;NULL;NULL;NULL;NULL;employee@pflegehilfe.de;17:01.7;
815BF3A3-DDEB-C0D0-0C34-08DB92785292;0;16:08.2;NULL;NULL;NULL;NULL;employee@pflegehilfe.de;16:08.2;
C3886E44-D575-C893-F7F1-08DB9277EB97;0;13:15.4;NULL;NULL;NULL;NULL;employee@pflegehilfe.de;13:15.4;
56E5083B-34AF-C5A7-5BD3-08DB9277EB96;0;13:15.4;NULL;NULL;NULL;NULL;employee@pflegehilfe.de;13:15.4;
9091ECE9-C10B-C6BA-46B9-08DB9277EB97;0;13:15.4;NULL;NULL;NULL;NULL;employee@pflegehilfe.de;13:15.4;
4331F27D-9AB9-CBAD-7E65-08DB92779E38;0;11:05.6;NULL;NULL;NULL;NULL;employee@pflegehilfe.de;11:05.6;
B5588335-0B6F-C785-F55F-08DB92779E06;0;11:05.3;NULL;NULL;NULL;NULL;employee@pflegehilfe.de;11:05.3;
E50E2A72-CEA4-C83A-D5A9-08DB92779E07;0;11:05.3;NULL;NULL;NULL;NULL;employee@pflegehilfe.de;11:05.3;
D13608F9-E417-C440-5A92-08DB9277959C;0;10:51.1;NULL;NULL;NULL;NULL;employee@pflegehilfe.de;10:51.1;
90B70CC0-F8D8-CBF3-C154-08DB9277959B;0;10:51.1;NULL;NULL;NULL;NULL;employee@pflegehilfe.de;10:51.1;
E355914C-803A-CD80-8C5E-08DB9277955A;0;10:50.7;NULL;NULL;NULL;NULL;sales@pflegehilfe.de;10:50.7;
46C790A2-EA5E-C045-4B97-08DB91B18CFE;1;33:16.3;25:08.3;NULL;NULL;NULL;sales@pflegehilfe.de;25:08.3;
E69522E8-F16A-C283-FBB0-08DB9271691A;1;26:39.5;19:58.6;NULL;NULL;NULL;sales@pflegehilfe.de;19:58.6;
4633AA15-3C41-CC94-9176-08DB8D0F3C4B;1;01:17.8;19:08.6;NULL;NULL;NULL;sales@pflegehilfe.de;19:08.6;
DDC7BE4A-765F-C568-B34B-08DB8DA4EAD1;1;52:45.7;16:30.8;NULL;NULL;NULL;sales@pflegehilfe.de;16:30.8;
46EB6EB0-E343-C6A9-1AC7-08DB92631D04;1;44:18.9;15:45.1;NULL;NULL;NULL;sales@pflegehilfe.de;15:45.1;
